Region1,Region2,Year,Area planted,Crop,Area harvested,Production,Yield
brasil,centro oriental riograndense,2001,147161,corn,147131,496739,3.376
brasil,metropolitana de porto alegre,2001,67763,corn,67763,155912,2.3
brasil,sudoeste riograndense,2001,52460,corn,52460,109954,2.095
brasil,sudeste riograndense,2001,156900,corn,156540,378576,2.418
brasil,pantanais sul matogrossense,2001,2650,corn,2580,9129,3.538
brasil,centro norte de mato grosso do sul,2001,78871,corn,78816,310390,3.938
brasil,leste de mato grosso do sul,2001,83460,corn,82960,485451,5.851
brasil,sudoeste de mato grosso do sul,2001,383498,corn,373518,1380876,3.696
brasil,norte matogrossense,2001,316423,corn,314423,881575,2.803
brasil,nordeste matogrossense,2001,45380,corn,44030,119088,2.704
brasil,sudoeste matogrossense,2001,30960,corn,30960,96658,3.122
brasil,centrosul matogrossense,2001,18689,corn,18689,52565,2.812
brasil,sudeste matogrossense,2001,128633,corn,128318,593157,4.622
brasil,noroeste goiano,2001,16573,corn,16483,44890,2.723
brasil,norte goiano,2001,42630,corn,41802,107067,2.561
brasil,centro goiano,2001,116086,corn,116086,391910,3.376
brasil,leste goiano,2001,121216,corn,120376,536006,4.452
brasil,sul goiano,2001,617273,corn,612881,3077514,5.021
brasil,distrito federal,2001,28515,corn,28515,121757,4.269
brasil,madeiraguapore,2002,9586,corn,9586,13947,1.454
brasil,leste rondoniense,2002,78042,corn,78042,139067,1.781
brasil,vale do jurua,2002,9918,corn,9918,10779,1.086
brasil,vale do acre,2002,23693,corn,22498,40729,1.81
brasil,norte amazonense,2002,29,corn,25,63,2.52
brasil,sudoeste amazonense,2002,2471,corn,2437,3116,1.278
brasil,centro amazonense,2002,4387,corn,4300,8263,1.921
brasil,sul amazonense,2002,3695,corn,3563,3887,1.09
brasil,norte de roraima,2002,7850,corn,7550,11020,1.459
brasil,sul de roraima,2002,6200,corn,6040,8200,1.357
brasil,baixo amazonas,2002,50120,corn,49900,93577,1.875
brasil,marajo,2002,1382,corn,1380,1088,0.788
