Region1,Region2,Year,Crop,Area planted,Production,Yield
assam,darrang,2000,rice,200833.0,248055.0,1.24
assam,darrang,2007,rice,58689.0,96660.0,1.65
assam,darrang,2003,rice,156616.0,215359.0,1.38
assam,darrang,2009,rice,79356.0,129879.0,1.64
assam,darrang,2005,rice,75166.0,108846.0,1.45
assam,darrang,1999,rice,186576.0,210079.0,1.13
assam,darrang,2006,rice,50338.0,67911.0,1.35
assam,darrang,2008,rice,79653.0,144653.0,1.82
assam,dhemaji,2008,rice,72185.0,74382.0,1.03
assam,dhemaji,2002,rice,70460.0,76623.0,1.09
assam,dhemaji,2004,rice,74392.0,78789.0,1.06
assam,dhemaji,2001,rice,72257.0,90844.0,1.26
assam,dhemaji,2003,rice,71802.0,75434.0,1.05
assam,dhemaji,2005,rice,82678.0,90504.0,1.09
assam,dhemaji,2000,rice,72174.0,100739.0,1.4
assam,dhemaji,1999,rice,71931.0,95753.0,1.33
assam,dhemaji,2010,rice,76957.0,98711.0,1.28
assam,dhemaji,2007,rice,74409.0,94174.0,1.27
assam,dhemaji,2006,rice,77750.0,93509.0,1.2
assam,dhemaji,2009,rice,71937.0,92968.0,1.29
assam,dhemaji,1998,rice,51073.0,57930.0,1.13
assam,dhubri,2008,rice,99303.0,171166.0,1.72
assam,dhubri,2001,rice,131011.0,196143.0,1.5
assam,dhubri,2009,rice,95928.0,162274.0,1.69
assam,dhubri,2010,rice,94785.0,227100.0,2.4
assam,dhubri,2004,rice,105963.0,164417.0,1.55
assam,dhubri,2003,rice,125891.0,190485.0,1.51
assam,dhubri,2000,rice,132572.0,194721.0,1.47
assam,dhubri,2002,rice,128915.0,200019.0,1.55
assam,dhubri,2007,rice,89125.0,160696.0,1.8
assam,dhubri,1999,rice,151677.0,220447.0,1.45
assam,dhubri,2006,rice,88963.0,150997.0,1.7
assam,dhubri,1998,rice,134991.0,138898.0,1.03
assam,dhubri,2005,rice,93273.0,145804.0,1.56
assam,dibrugarh,2002,rice,86390.0,126663.0,1.47
assam,dibrugarh,2009,rice,75014.0,154935.0,2.07
assam,dibrugarh,2006,rice,71929.0,111046.0,1.54
assam,dibrugarh,2001,rice,86053.0,134984.0,1.57
assam,dibrugarh,2003,rice,83683.0,150028.0,1.79
assam,dibrugarh,2010,rice,76097.0,162958.0,2.14
assam,dibrugarh,2007,rice,58846.0,93732.0,1.59
assam,dibrugarh,1999,rice,85075.0,134783.0,1.58
assam,dibrugarh,1998,rice,84628.0,130295.0,1.54
assam,dibrugarh,2004,rice,82800.0,148147.0,1.79
assam,dibrugarh,2000,rice,87161.0,154011.0,1.77
assam,dibrugarh,2005,rice,79786.0,127191.0,1.59
assam,dibrugarh,2008,rice,70544.0,135347.0,1.92
assam,goalpara,1999,rice,71166.0,107295.0,1.51
assam,goalpara,2003,rice,72635.0,103438.0,1.42
assam,goalpara,2000,rice,70212.0,115470.0,1.64
assam,goalpara,2004,rice,71377.0,105924.0,1.48
assam,goalpara,2010,rice,83139.0,196858.0,2.37
assam,goalpara,2007,rice,78400.0,124885.0,1.59
assam,goalpara,2001,rice,73292.0,120105.0,1.64
assam,goalpara,2005,rice,77696.0,118630.0,1.53
assam,goalpara,2002,rice,72316.0,120688.0,1.67
assam,goalpara,2009,rice,81708.0,140304.0,1.72
assam,goalpara,2008,rice,83310.0,149644.0,1.8
assam,goalpara,1998,rice,67479.0,91574.0,1.36
assam,goalpara,2006,rice,72213.0,100743.0,1.4
assam,golaghat,2009,rice,106706.0,221921.0,2.08
assam,golaghat,2000,rice,90284.0,176433.0,1.95
assam,golaghat,2002,rice,85618.0,175087.0,2.04
assam,golaghat,2008,rice,80040.0,156309.0,1.95
assam,golaghat,2006,rice,62786.0,100871.0,1.61
assam,golaghat,1998,rice,82324.0,145127.0,1.76
assam,golaghat,2007,rice,79269.0,151322.0,1.91
assam,golaghat,2003,rice,85996.0,183864.0,2.14
assam,golaghat,2001,rice,83394.0,167668.0,2.01
assam,golaghat,2004,rice,83405.0,167358.0,2.01
assam,golaghat,2010,rice,109515.0,246271.0,2.25
assam,golaghat,2005,rice,80328.0,156065.0,1.94
assam,golaghat,1999,rice,85188.0,155231.0,1.82
assam,hailakandi,2001,rice,47500.0,93385.0,1.97
assam,hailakandi,2008,rice,49856.0,115628.0,2.32
assam,hailakandi,2003,rice,47100.0,101827.0,2.16
assam,hailakandi,1999,rice,45000.0,67356.0,1.5
assam,hailakandi,2007,rice,47160.0,92378.0,1.96
assam,hailakandi,2010,rice,48073.0,108459.0,2.26
assam,hailakandi,2009,rice,47009.0,117009.0,2.49
assam,hailakandi,2004,rice,46510.0,97231.0,2.09
assam,hailakandi,2006,rice,42550.0,83414.0,1.96
assam,hailakandi,2000,rice,44500.0,79685.0,1.79
assam,hailakandi,2002,rice,47000.0,98548.0,2.1
assam,hailakandi,2005,rice,46800.0,91223.0,1.95
assam,hailakandi,1998,rice,42400.0,65527.0,1.55
assam,jorhat,2000,rice,91743.0,164625.0,1.79
assam,jorhat,2001,rice,95929.0,168128.0,1.75
assam,jorhat,2007,rice,86584.0,116115.0,1.34
assam,jorhat,2002,rice,77850.0,122180.0,1.57
assam,jorhat,2005,rice,88199.0,140837.0,1.6
assam,jorhat,2004,rice,81541.0,134669.0,1.65
assam,jorhat,2008,rice,86852.0,137020.0,1.58
assam,jorhat,1999,rice,111015.0,193710.0,1.74
assam,jorhat,2006,rice,75116.0,86589.0,1.15
assam,jorhat,2003,rice,85198.0,143567.0,1.69
assam,jorhat,2009,rice,97045.0,188179.0,1.94
assam,jorhat,2010,rice,92814.0,181879.0,1.96
assam,jorhat,1998,rice,81530.0,138183.0,1.69
assam,kamrup,2002,rice,168885.0,245330.0,1.45
assam,kamrup,2006,rice,90175.0,137976.0,1.53
assam,kamrup,1999,rice,169214.0,240170.0,1.42
assam,kamrup,2008,rice,122238.0,227971.0,1.86
assam,kamrup,1998,rice,173918.0,225327.0,1.3
assam,kamrup,2005,rice,124354.0,211314.0,1.7
assam,kamrup,2010,rice,118873.0,280425.0,2.36
assam,kamrup,2003,rice,164976.0,256677.0,1.56
assam,kamrup,2000,rice,178861.0,269231.0,1.51
assam,kamrup,2001,rice,171962.0,264256.0,1.54
assam,kamrup,2009,rice,118408.0,228253.0,1.93
assam,kamrup,2007,rice,118239.0,218431.0,1.85
