Year,Region2,Crop,Region1,Area harvested,Area planted,Production,Yield
2003,lee,soybeans,il,129700.0,130000.0,3891000.0,30.0
2003,lewis,soybeans,mo,64800.0,65200.0,2328000.0,35.9
2003,licking,soybeans,oh,57000.0,57200.0,1992500.0,35.0
2003,lincoln,soybeans,ar,53500.0,54500.0,1918000.0,36.0
2003,lincoln,soybeans,ks,8900.0,9800.0,191200.0,21.0
2003,lincoln,soybeans,mn,95000.0,95400.0,3040000.0,32.0
2003,lincoln,soybeans,mo,63700.0,64300.0,2153000.0,33.8
2003,lincoln,soybeans,ne,23000.0,24500.0,1170600.0,50.9
2003,lincoln,soybeans,sd,143500.0,144000.0,4492000.0,31.3
2003,linn,soybeans,ia,117500.0,118000.0,3401000.0,28.9
2003,linn,soybeans,ks,44500.0,49200.0,627600.0,14.0
2003,linn,soybeans,mo,52300.0,52800.0,932000.0,17.8
2003,little river,soybeans,ar,12000.0,12500.0,312000.0,26.0
2003,livingston,soybeans,il,279100.0,280000.0,8652100.0,31.0
2003,livingston,soybeans,mo,106700.0,107600.0,1983000.0,18.6
2003,logan,soybeans,ar,4700.0,5000.0,126000.0,27.0
2003,logan,soybeans,il,153700.0,154000.0,6301700.0,41.0
2003,logan,soybeans,ks,3300.0,3400.0,110100.0,33.0
2003,logan,soybeans,nd,14700.0,15000.0,245000.0,16.7
2003,logan,soybeans,ne,1200.0,1400.0,55700.0,46.4
2003,logan,soybeans,oh,83300.0,83800.0,2902300.0,34.8
2003,lonoke,soybeans,ar,121500.0,122000.0,5045000.0,42.0
2003,lorain,soybeans,oh,42700.0,43400.0,1270800.0,29.8
2003,louisa,soybeans,ia,71700.0,72000.0,2121000.0,29.6
2003,loup,soybeans,ne,1300.0,1400.0,56400.0,43.4
2003,lucas,soybeans,ia,24800.0,25000.0,716000.0,28.9
2003,lucas,soybeans,oh,30000.0,30200.0,1224700.0,40.8
2003,lyman,soybeans,sd,2700.0,3000.0,49400.0,18.3
2003,lyon,soybeans,ia,138400.0,139000.0,5252000.0,37.9
2003,lyon,soybeans,ks,55600.0,62700.0,925500.0,17.0
2003,lyon,soybeans,mn,169200.0,170000.0,5752800.0,34.0
2003,macon,soybeans,il,135800.0,136000.0,5975200.0,44.0
2003,macon,soybeans,mo,72100.0,72700.0,1959000.0,27.2
