"","Data Source Organization","Data Source Document","Country","FNID_mod","Admin 1","Admin2_mod","Pop_group","Year","Season","Crop","DNL Name of Crop in FDW","DNL Name of Crop in source","DNL Original harvest year","AreaPlanted_ha","QuantityProduced_mt","DNLQuantityProduced","Yield_mt_ha"
"53","CSA, Ethiopia","Agricultural Sample Survey, 1995-1996/2014-2015, Ethiopia","ET","ET2014A21501","Dire Dawa","Dire Dawa",NA,2002,"Meher","01122","Maize","Maize","2001/2002",465,539.3,NA,1.15978494623656
"54","CSA, Ethiopia","Agricultural Sample Survey, 1995-1996/2014-2015, Ethiopia","ET","ET2014A21501","Dire Dawa","Dire Dawa",NA,2004,"Meher","01122","Maize","Maize","2003/2004",184,234.9,NA,1.27663043478261
"55","CSA, Ethiopia","Agricultural Sample Survey, 1995-1996/2014-2015, Ethiopia","ET","ET2014A21501","Dire Dawa","Dire Dawa",NA,2005,"Meher","01122","Maize","Maize","2004/2005",281,307.1,NA,1.09288256227758
"56","CSA, Ethiopia","Agricultural Sample Survey, 1995-1996/2014-2015, Ethiopia","ET","ET2014A21501","Dire Dawa","Dire Dawa",NA,2006,"Meher","01122","Maize","Maize","2005/2006",106.41,129.51,NA,1.21708486044545
"57","CSA, Ethiopia","Agricultural Sample Survey, 1995-1996/2014-2015, Ethiopia","ET","ET2014A21501","Dire Dawa","Dire Dawa",NA,2007,"Meher","01122","Maize","Maize","2006/2007",335.48,374.977,NA,1.11773280076309
"58","CSA, Ethiopia","Agricultural Sample Survey, 2000-2001, Ethiopia","ET","ET1994A20730","SNNPR","North Omo",NA,2001,"Meher","01122","Maize","Maize","2000/2001",116020,173284,NA,1.49357007412515
"59","CSA, Ethiopia","Agricultural Sample Survey, 2000-2001, Ethiopia","ET","ET1994A20731","SNNPR","Keficho Shekicho",NA,2001,"Meher","01122","Maize","Maize","2000/2001",22030,41475,NA,1.88266000907853
"60","CSA, Ethiopia","Agricultural Sample Survey, 2000-2001, Ethiopia","ET","ET2001A20106","Tigray","West Tigray",NA,2001,"Meher","01122","Maize","Maize","2000/2001",26550,46066,NA,1.735065913371
"61","CSA, Ethiopia","Agricultural Sample Survey, 2000-2001, Ethiopia","ET","ET2001A20426","Oromia","Borena",NA,2001,"Meher","01122","Maize","Maize","2000/2001",45340,67177,NA,1.48162770180856
"62","CSA, Ethiopia","Agricultural Sample Survey, 2000-2001, Ethiopia","ET","ET2001A20427","Oromia","West Shewa",NA,2001,"Meher","01122","Maize","Maize","2000/2001",54090,117242,NA,2.16753558883343
"63","CSA, Ethiopia","Agricultural Sample Survey, 2000-2001, Ethiopia","ET","ET2001A20509","Somali","Liben",NA,2001,"Meher","01122","Maize","Maize","2000/2001",4320,NA,NA,NA
"64","CSA, Ethiopia","Agricultural Sample Survey, 2000-2001, Ethiopia","ET","ET2001A20727","SNNPR","Gurage",NA,2001,"Meher","01122","Maize","Maize","2000/2001",47810,98235,NA,2.05469567036185
"65","CSA, Ethiopia","Agricultural Sample Survey, 2000-2001, Ethiopia","ET","ET2001A20729","SNNPR","Kembata Alaba Tembaro
",NA,2001,"Meher","01122","Maize","Maize","2000/2001",33180,65205,NA,1.96518987341772
"66","CSA, Ethiopia","Agricultural Sample Survey, 2000-2001, Ethiopia","ET","ET2003A20423","Oromia","East Wellega",NA,2001,"Meher","01122","Maize","Maize","2000/2001",113080,264730,NA,2.34108595684471
"67","CSA, Ethiopia","Agricultural Sample Survey, 2000-2001, Ethiopia","ET","ET2003A20424","Oromia","West Wellega",NA,2001,"Meher","01122","Maize","Maize","2000/2001",106230,212111,NA,1.99671467570366
"68","CSA, Ethiopia","Agricultural Sample Survey, 2000-2001, Ethiopia","ET","ET2003A204r","Oromia","Oromia Regroup",NA,2001,"Meher","01122","Maize","Maize","2000/2001",211970,374236,NA,1.76551398782847
"69","CSA, Ethiopia","Agricultural Sample Survey, 2000-2001, Ethiopia","ET","ET2003A206r","Benshangul Gumuz","Benshangul Gumuz Regroup",NA,2001,"Meher","01122","Maize","Maize","2000/2001",15950,24705,NA,1.54890282131661
"70","CSA, Ethiopia","Agricultural Sample Survey, 2000-2001, Ethiopia","ET","ET2007A20313","Amhara","South Wollo",NA,2001,"Meher","01122","Maize","Maize","2000/2001",16170,16632,NA,1.02857142857143
"71","CSA, Ethiopia","Agricultural Sample Survey, 2000-2001, Ethiopia","ET","ET2007A20608","Benshangul Gumuz","Metekel",NA,2001,"Meher","01122","Maize","Maize","2000/2001",10710,22674,NA,2.11708683473389
"72","CSA, Ethiopia","Agricultural Sample Survey, 2000-2001, Ethiopia","ET","ET2007A21410","Addis Ababa","Region 14",NA,2001,"Meher","01122","Maize","Maize","2000/2001",30,NA,NA,NA
"73","CSA, Ethiopia","Agricultural Sample Survey, 2000-2001, Ethiopia","ET","ET2014A20102","Tigray","Central Tigray",NA,2001,"Meher","01122","Maize","Maize","2000/2001",17980,25537,NA,1.42030033370412
"74","CSA, Ethiopia","Agricultural Sample Survey, 2000-2001, Ethiopia","ET","ET2014A20103","Tigray","East Tigray",NA,2001,"Meher","01122","Maize","Maize","2000/2001",1700,2743,NA,1.61352941176471
"75","CSA, Ethiopia","Agricultural Sample Survey, 2000-2001, Ethiopia","ET","ET2014A20104","Tigray","South Tigray",NA,2001,"Meher","01122","Maize","Maize","2000/2001",9450,11713,NA,1.2394708994709
"76","CSA, Ethiopia","Agricultural Sample Survey, 2000-2001, Ethiopia","ET","ET2014A20201","Afar","Zone 1",NA,2001,"Meher","01122","Maize","Maize","2000/2001",3650,6886,NA,1.88657534246575
"77","CSA, Ethiopia","Agricultural Sample Survey, 2000-2001, Ethiopia","ET","ET2014A20203","Afar","Zone 3",NA,2001,"Meher","01122","Maize","Maize","2000/2001",3100,409,NA,0.131935483870968
"78","CSA, Ethiopia","Agricultural Sample Survey, 2000-2001, Ethiopia","ET","ET2014A20301","Amhara","North Gondar",NA,2001,"Meher","01122","Maize","Maize","2000/2001",44770,60726,NA,1.35639937458119
"79","CSA, Ethiopia","Agricultural Sample Survey, 2000-2001, Ethiopia","ET","ET2014A20302","Amhara","South Gondar",NA,2001,"Meher","01122","Maize","Maize","2000/2001",40580,39345,NA,0.969566288812223
"80","CSA, Ethiopia","Agricultural Sample Survey, 2000-2001, Ethiopia","ET","ET2014A20303","Amhara","North Wollo",NA,2001,"Meher","01122","Maize","Maize","2000/2001",8080,12124,NA,1.50049504950495
"81","CSA, Ethiopia","Agricultural Sample Survey, 2000-2001, Ethiopia","ET","ET2014A20305","Amhara","North Shewa",NA,2001,"Meher","01122","Maize","Maize","2000/2001",11540,15294,NA,1.32530329289428
"82","CSA, Ethiopia","Agricultural Sample Survey, 2000-2001, Ethiopia","ET","ET2014A20306","Amhara","East Gojam",NA,2001,"Meher","01122","Maize","Maize","2000/2001",54600,91907,NA,1.68327838827839
"83","CSA, Ethiopia","Agricultural Sample Survey, 2000-2001, Ethiopia","ET","ET2014A20307","Amhara","West Gojam",NA,2001,"Meher","01122","Maize","Maize","2000/2001",146470,315523,NA,2.15418174370178
