State,County,Year,Crop,Area planted,Production,Yield,Region1,Region2
Eastern Equatoria ,Kapoeta North ,2013,corn,"6,540","4,186",0.6400666656473142,eastern equatoria,kapoeta north
Eastern Equatoria ,Kapoeta South ,2013,corn,"3,842","1,844",0.4799718903724525,eastern equatoria,kapoeta south
Eastern Equatoria ,Lafon ,2013,corn,"12,334","10,854",0.8800074589957921,eastern equatoria,lafon
Eastern Equatoria ,Magwi ,2013,corn,"20,844","25,013",1.2000086355371544,eastern equatoria,magwi
Eastern Equatoria ,Torit ,2013,corn,"16,820","12,110",0.7199778836035458,eastern equatoria,torit
Eastern Equatoria ,Budi ,2014,corn,"22,066","21,184",0.9600291850394952,eastern equatoria,budi
Eastern Equatoria ,Ikotos ,2014,corn,"23,295","22,363",0.9599915862134096,eastern equatoria,ikotos
Eastern Equatoria ,Kapoeta East ,2014,corn,"17,431","11,156",0.6400112442702984,eastern equatoria,kapoeta east
Eastern Equatoria ,Kapoeta North ,2014,corn,"9,630","6,163",0.6399829700626162,eastern equatoria,kapoeta north
Eastern Equatoria ,Kapoeta South ,2014,corn,"7,419","4,748",0.6399832863824454,eastern equatoria,kapoeta south
Eastern Equatoria ,Lafon ,2014,corn,"14,717","11,774",0.8000285382310373,eastern equatoria,lafon
Eastern Equatoria ,Magwi ,2014,corn,"38,119","45,742",1.1999784884742821,eastern equatoria,magwi
Eastern Equatoria ,Torit ,2014,corn,"18,285","19,016",1.0399779055077631,eastern equatoria,torit
Eastern Equatoria ,Budi ,2015,corn,"20,524","16,419",0.7999912298225014,eastern equatoria,budi
Eastern Equatoria ,Ikotos ,2015,corn,"23,993","21,114",0.8800071687276759,eastern equatoria,ikotos
Eastern Equatoria ,Kapoeta East ,2015,corn,"11,670","5,602",0.4800387314590278,eastern equatoria,kapoeta east
Eastern Equatoria ,Kapoeta North ,2015,corn,"8,927","4,999",0.5599914865969912,eastern equatoria,kapoeta north
Eastern Equatoria ,Kapoeta South ,2015,corn,"6,419","3,081",0.4799894066146345,eastern equatoria,kapoeta south
Eastern Equatoria ,Lafon ,2015,corn,"15,159","10,914",0.719970182926427,eastern equatoria,lafon
Eastern Equatoria ,Magwi ,2015,corn,"33,653","40,384",1.200011291678924,eastern equatoria,magwi
Eastern Equatoria ,Torit ,2015,corn,"18,833","15,067",0.8000329207618502,eastern equatoria,torit
Eastern Equatoria ,Budi ,2016,corn,"19,072","15,258",0.8000220216966144,eastern equatoria,budi
Eastern Equatoria ,Ikotos ,2016,corn,"22,651","19,933",0.8800058275315548,eastern equatoria,ikotos
Eastern Equatoria ,Kapoeta East ,2016,corn,"12,033","8,664",0.7200222719000091,eastern equatoria,kapoeta east
Eastern Equatoria ,Kapoeta North ,2016,corn,"7,300","5,840",0.8000027396884974,eastern equatoria,kapoeta north
Eastern Equatoria ,Kapoeta South ,2016,corn,"5,128","2,462",0.4801193424465202,eastern equatoria,kapoeta south
Eastern Equatoria ,Lafon ,2016,corn,"16,822","14,804",0.8800387585378758,eastern equatoria,lafon
Eastern Equatoria ,Magwi ,2016,corn,"15,846","17,748",1.1200295340809412,eastern equatoria,magwi
Eastern Equatoria ,Torit ,2016,corn,"17,280","13,824",0.8000011574007094,eastern equatoria,torit
Eastern Equatoria ,Budi ,2017,corn,"15,660","13,781",0.8800135375891598,eastern equatoria,budi
Eastern Equatoria ,Ikotos ,2017,corn,"20,602","19,778",0.9600040772542604,eastern equatoria,ikotos
Eastern Equatoria ,Kapoeta East ,2017,corn,"10,764","6,028",0.5600189518863629,eastern equatoria,kapoeta east
Eastern Equatoria ,Kapoeta North ,2017,corn,"6,540","4,186",0.6400666656473142,eastern equatoria,kapoeta north
Eastern Equatoria ,Kapoeta South ,2017,corn,"3,842","1,844",0.4799718903724525,eastern equatoria,kapoeta south
Eastern Equatoria ,Lafon ,2017,corn,"12,334","10,854",0.8800074589957921,eastern equatoria,lafon
Eastern Equatoria ,Magwi ,2017,corn,"20,844","25,013",1.2000086355371544,eastern equatoria,magwi
Eastern Equatoria ,Torit ,2017,corn,"16,820","12,110",0.7199778836035458,eastern equatoria,torit
Jonglei ,Akobo ,2010,corn,"3,949","2,212",0.5601529462409157,jonglei,akobo
Jonglei ,Ayod ,2010,corn,938,525,0.5597015394774478,jonglei,ayod
Jonglei ,Bor South ,2010,corn,"2,208","1,589",0.719668493274761,jonglei,bor south
Jonglei ,Canal/Pigi ,2010,corn,"2,157","1,208",0.5600574845857864,jonglei,canalpigi
Jonglei ,Duk ,2010,corn,0,0,1.0,jonglei,duk
Jonglei ,Fangak ,2010,corn,"2,586","1,448",0.5599551448126522,jonglei,fangak
